checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_debtors,residence_since,property,age,other_installment,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
no checking,36,no credits,repairs,2613,<100,1-4yr,4,male single,none,2,car,27,none,own,2,skilled,1,none,yes,0
0-200,48,existing paid,radio/TV,10961,>=1000,4-7yr,1,male single,co-applicant,2,no property,27,bank,own,2,skilled,1,yes,yes,1
<0,12,existing paid,furniture,7865,<100,>=7yr,4,male single,none,4,no property,53,none,free,1,management,1,yes,yes,1
no checking,9,existing paid,radio/TV,1478,<100,4-7yr,4,male single,none,2,car,22,none,own,1,skilled,1,none,yes,1
<0,24,existing paid,furniture,3149,<100,<1yr,4,male single,none,1,no property,22,bank,free,1,skilled,1,none,yes,0
>=200,36,existing paid,radio/TV,4210,<100,1-4yr,4,male single,none,2,car,26,none,own,1,skilled,1,none,yes,1
no checking,9,existing paid,car (new),2507,500-1000,>=7yr,2,male single,none,4,no property,51,none,free,1,unskilled resident,1,none,yes,0
no checking,12,existing paid,radio/TV,2141,100-500,4-7yr,3,male single,none,1,no property,35,none,own,1,skilled,1,none,yes,0
0-200,18,existing paid,radio/TV,866,<100,1-4yr,4,male married,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,0
no checking,4,critical,radio/TV,1544,<100,4-7yr,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,0
<0,24,existing paid,radio/TV,1823,<100,unemployed,4,male single,none,2,car,30,stores,own,1,management,2,none,yes,1
0-200,6,existing paid,car (new),14555,no savings,unemployed,1,male single,none,2,insurance/savings,23,none,own,1,unemployed/unskilled,1,yes,yes,1
0-200,21,existing paid,business,2767,100-500,>=7yr,4,male divorced,none,2,car,61,bank,rent,2,unskilled resident,1,none,yes,1
no checking,12,critical,radio/TV,1291,<100,1-4yr,4,female,none,2,insurance/savings,35,none,own,2,skilled,1,none,yes,0
<0,30,existing paid,radio/TV,2522,<100,>=7yr,1,male single,guarantor,3,insurance/savings,39,none,own,1,skilled,2,none,yes,0
<0,24,existing paid,car (new),915,no savings,>=7yr,4,female,none,2,car,29,bank,own,1,skilled,1,none,yes,1
no checking,6,existing paid,radio/TV,1595,<100,4-7yr,3,male single,none,2,insurance/savings,51,none,own,1,skilled,2,none,yes,0
<0,48,no credits,car (used),4605,<100,>=7yr,3,male single,none,4,no property,24,none,free,2,skilled,2,none,yes,1
no checking,12,critical,business,1185,<100,1-4yr,3,female,none,2,real estate,27,none,own,2,skilled,1,none,yes,0
no checking,12,all paid,retraining,3447,500-1000,1-4yr,4,female,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,0
no checking,24,existing paid,business,1258,<100,4-7yr,4,male single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,0
no checking,12,critical,radio/TV,717,<100,>=7yr,4,male single,none,4,real estate,52,none,own,3,skilled,1,none,yes,0
no checking,6,no credits,car (new),1204,100-500,1-4yr,4,male single,none,1,no property,35,bank,rent,1,skilled,1,none,no,0
>=200,24,existing paid,furniture,1925,<100,1-4yr,2,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,0
no checking,18,existing paid,radio/TV,433,<100,unemployed,3,female,co-applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,1
<0,6,critical,car (new),666,>=1000,4-7yr,3,female,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,0
>=200,12,existing paid,furniture,2251,<100,1-4yr,1,female,none,2,car,46,none,own,1,unskilled resident,1,none,yes,0
0-200,30,existing paid,car (new),2150,<100,1-4yr,4,female,guarantor,2,no property,24,bank,own,1,skilled,1,none,yes,1
no checking,24,delayed,furniture,4151,100-500,1-4yr,2,male single,none,3,insurance/savings,35,none,own,2,skilled,1,none,yes,0
0-200,9,existing paid,furniture,2030,no savings,4-7yr,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,0
0-200,60,delayed,radio/TV,7418,no savings,1-4yr,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,0
no checking,24,critical,radio/TV,2684,<100,1-4yr,4,male single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,0
<0,12,all paid,radio/TV,2149,<100,1-4yr,4,male divorced,none,1,no property,29,none,free,1,skilled,1,none,yes,1
no checking,15,existing paid,car (used),3812,100-500,<1yr,1,female,none,4,car,23,none,own,1,skilled,1,yes,yes,0
no checking,11,critical,radio/TV,1154,100-500,unemployed,4,female,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,0
<0,12,existing paid,furniture,1657,<100,1-4yr,2,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes,0
<0,24,existing paid,radio/TV,1603,<100,>=7yr,4,female,none,4,car,55,none,own,1,skilled,1,none,yes,0
<0,18,critical,car (new),5302,<100,>=7yr,2,male single,none,4,no property,36,none,free,3,management,1,yes,yes,0
no checking,12,critical,education,2748,<100,>=7yr,2,female,none,4,no property,57,bank,free,3,unskilled resident,1,none,yes,0
no checking,10,critical,car (new),1231,<100,>=7yr,3,male single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,0
0-200,15,existing paid,radio/TV,802,<100,>=7yr,4,male single,none,3,car,37,none,own,1,skilled,2,none,yes,1
no checking,36,critical,business,6304,no savings,>=7yr,4,male single,none,4,real estate,36,none,own,2,skilled,1,none,yes,0
no checking,24,existing paid,radio/TV,1533,<100,<1yr,4,female,none,3,car,38,stores,own,1,skilled,1,yes,yes,0
<0,14,existing paid,car (new),8978,<100,>=7yr,1,male divorced,none,4,insurance/savings,45,none,own,1,management,1,yes,no,1
no checking,24,existing paid,radio/TV,999,no savings,>=7yr,4,male single,none,2,car,25,none,own,2,skilled,1,none,yes,0
no checking,18,existing paid,car (new),2662,no savings,4-7yr,4,male single,none,3,insurance/savings,32,none,own,1,skilled,1,none,no,0
no checking,12,critical,furniture,1402,500-1000,4-7yr,3,female,none,4,car,37,none,rent,1,skilled,1,yes,yes,0
0-200,48,all paid,car (new),12169,no savings,unemployed,4,male single,co-applicant,4,no property,36,none,free,1,management,1,yes,yes,0
0-200,48,existing paid,radio/TV,3060,<100,4-7yr,4,male single,none,4,real estate,28,none,own,2,skilled,1,none,yes,1
<0,30,existing paid,repairs,11998,<100,<1yr,1,male divorced,none,1,no property,34,none,own,1,unskilled resident,1,yes,yes,1
no checking,9,existing paid,radio/TV,2697,<100,1-4yr,1,male single,none,2,real estate,32,none,own,1,skilled,2,none,yes,0
no checking,18,critical,radio/TV,2404,<100,1-4yr,2,female,none,2,car,26,none,own,2,skilled,1,none,yes,0
<0,12,existing paid,furniture,1262,no savings,>=7yr,2,male divorced,none,4,insurance/savings,49,none,own,1,unskilled resident,1,yes,yes,0
no checking,6,existing paid,furniture,4611,<100,<1yr,1,female,none,4,insurance/savings,32,none,own,1,skilled,1,none,yes,1
no checking,24,existing paid,radio/TV,1901,100-500,1-4yr,4,male single,none,4,car,29,none,rent,1,management,1,yes,yes,0
no checking,15,critical,car (used),3368,>=1000,>=7yr,3,male single,none,4,no property,23,none,rent,2,skilled,1,yes,yes,0
no checking,12,existing paid,furniture,1574,<100,1-4yr,4,male single,none,2,real estate,50,none,own,1,skilled,1,none,yes,0
>=200,18,all paid,radio/TV,1445,no savings,4-7yr,4,male single,none,4,car,49,bank,own,1,unskilled resident,1,none,yes,0
no checking,15,critical,furniture,1520,no savings,>=7yr,4,male single,none,4,insurance/savings,63,none,own,1,skilled,1,none,yes,0
0-200,24,critical,car (new),3878,100-500,<1yr,4,male divorced,none,2,car,37,none,own,1,skilled,1,yes,yes,0
<0,47,existing paid,car (new),10722,<100,<1yr,1,female,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,0
<0,48,existing paid,car (used),4788,<100,4-7yr,4,male single,none,3,insurance/savings,26,none,own,1,skilled,2,none,yes,0
0-200,48,delayed,others,7582,100-500,unemployed,2,male single,none,4,no property,31,none,free,1,management,1,yes,yes,0
0-200,12,existing paid,radio/TV,1092,<100,1-4yr,4,female,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,0
<0,24,delayed,radio/TV,1024,<100,<1yr,4,male married,none,4,real estate,48,stores,own,1,skilled,1,none,yes,1
no checking,12,existing paid,business,1076,<100,1-4yr,2,male married,none,2,real estate,26,none,own,1,skilled,1,yes,no,0
0-200,36,existing paid,car (used),9398,<100,<1yr,1,male married,none,4,car,28,none,rent,1,management,1,yes,yes,1
<0,24,critical,car (used),6419,<100,>=7yr,2,female,none,4,no property,44,none,free,2,management,2,yes,yes,0
>=200,42,critical,car (used),4796,<100,>=7yr,4,male single,none,4,no property,56,none,free,1,skilled,1,none,yes,0
no checking,48,critical,business,7629,no savings,>=7yr,4,male divorced,none,2,car,46,bank,own,2,management,2,none,yes,0
0-200,48,existing paid,furniture,9960,<100,<1yr,1,female,none,2,car,26,none,own,1,skilled,1,yes,yes,1
no checking,12,existing paid,car (used),4675,no savings,<1yr,1,female,none,4,car,20,none,rent,1,skilled,1,none,yes,0
no checking,10,existing paid,car (new),1287,no savings,>=7yr,4,male single,co-applicant,2,insurance/savings,45,none,own,1,unskilled resident,1,none,no,0
no checking,18,existing paid,furniture,2515,<100,1-4yr,3,male single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,0
0-200,21,critical,furniture,2745,>=1000,4-7yr,3,male single,none,2,car,32,none,own,2,skilled,1,yes,yes,0
no checking,6,existing paid,car (new),672,<100,unemployed,1,female,none,4,real estate,54,none,own,1,unemployed/unskilled,1,yes,yes,0
0-200,36,no credits,radio/TV,3804,<100,1-4yr,4,female,none,1,car,42,none,own,1,skilled,1,yes,yes,1
>=200,24,critical,car (new),1344,no savings,4-7yr,4,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,1
<0,10,critical,car (new),1038,<100,4-7yr,4,male single,co-applicant,3,insurance/savings,49,none,own,2,skilled,1,yes,yes,0
no checking,48,critical,car (new),10127,500-1000,1-4yr,2,male single,none,2,no property,44,bank,free,1,skilled,1,none,yes,1
no checking,6,existing paid,furniture,1543,>=1000,1-4yr,4,male divorced,none,2,real estate,33,none,own,1,skilled,1,none,yes,0
no checking,30,existing paid,car (used),4811,no savings,4-7yr,2,female,none,4,insurance/savings,24,stores,rent,1,unskilled resident,1,none,yes,0
<0,12,existing paid,radio/TV,727,100-500,<1yr,4,male married,none,3,no property,33,none,own,1,unskilled resident,1,yes,yes,1
0-200,8,existing paid,furniture,1237,<100,1-4yr,3,female,none,4,real estate,24,none,own,1,skilled,1,none,yes,1
0-200,9,existing paid,car (new),276,<100,1-4yr,4,male married,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,0
0-200,48,existing paid,others,5381,no savings,unemployed,3,male single,none,4,no property,40,bank,free,1,unemployed/unskilled,1,yes,yes,0
no checking,24,existing paid,furniture,5511,100-500,1-4yr,4,male single,none,1,car,25,stores,own,1,skilled,1,none,yes,0
>=200,24,existing paid,furniture,3749,<100,<1yr,2,female,none,4,car,26,none,own,1,skilled,1,none,yes,0
0-200,12,existing paid,car (new),685,<100,4-7yr,2,male married,none,3,car,25,bank,own,1,unskilled resident,1,none,yes,1
>=200,4,existing paid,car (new),1494,no savings,<1yr,1,male single,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,0
<0,36,all paid,furniture,2746,<100,>=7yr,4,male single,none,4,car,31,bank,own,1,skilled,1,none,yes,1
<0,12,existing paid,furniture,708,<100,1-4yr,2,male single,guarantor,3,insurance/savings,38,none,own,1,unskilled resident,2,none,yes,0
0-200,24,existing paid,furniture,4351,no savings,1-4yr,1,female,none,4,insurance/savings,48,none,own,1,unskilled resident,1,yes,yes,0
no checking,12,critical,education,701,<100,1-4yr,4,male single,none,2,car,32,none,own,2,skilled,1,none,yes,0
<0,15,delayed,furniture,3643,<100,>=7yr,1,female,none,4,insurance/savings,27,none,own,2,unskilled resident,1,none,yes,0
0-200,30,critical,car (new),4249,<100,unemployed,4,male married,none,2,car,28,none,own,2,management,1,none,yes,1
<0,24,existing paid,radio/TV,1938,<100,<1yr,4,male divorced,none,3,insurance/savings,32,none,own,1,skilled,1,none,yes,1
<0,24,existing paid,car (used),2910,<100,4-7yr,2,male single,none,1,no property,34,none,free,1,management,1,yes,yes,0
<0,18,existing paid,furniture,2659,>=1000,1-4yr,4,male single,none,2,car,28,none,own,1,skilled,1,none,yes,0
no checking,18,critical,car (new),1028,<100,1-4yr,4,female,none,3,real estate,36,none,own,2,skilled,1,none,yes,0
<0,8,critical,car (new),3398,<100,4-7yr,1,male single,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,0
no checking,12,critical,furniture,5801,no savings,>=7yr,2,male single,none,4,insurance/savings,49,none,rent,1,skilled,1,yes,yes,0
no checking,24,existing paid,car (new),1525,>=1000,4-7yr,4,female,none,3,car,34,none,own,1,skilled,2,yes,yes,0
>=200,36,existing paid,radio/TV,4473,<100,>=7yr,4,male single,none,2,car,31,none,own,1,skilled,1,none,yes,0
0-200,6,existing paid,radio/TV,1068,<100,>=7yr,4,male single,none,4,car,28,none,own,1,skilled,2,none,yes,0
<0,24,critical,car (used),6615,<100,unemployed,2,male single,none,4,no property,75,none,free,2,management,1,yes,yes,0
no checking,18,critical,education,1864,100-500,1-4yr,4,female,none,2,real estate,30,none,own,2,skilled,1,none,yes,1
0-200,60,existing paid,car (new),7408,100-500,<1yr,4,female,none,2,insurance/savings,24,none,own,1,management,1,none,yes,1
no checking,48,critical,car (used),11590,100-500,1-4yr,2,female,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,1
<0,24,no credits,furniture,4110,<100,>=7yr,3,male single,none,4,no property,23,bank,rent,2,skilled,2,none,yes,1
<0,6,critical,furniture,3384,<100,1-4yr,1,male divorced,none,4,real estate,44,none,rent,1,management,1,yes,yes,1
0-200,13,existing paid,radio/TV,2101,<100,<1yr,2,female,guarantor,4,insurance/savings,23,none,own,1,unskilled resident,1,none,yes,0
<0,15,existing paid,appliances,1275,no savings,1-4yr,4,female,none,2,car,24,none,rent,1,skilled,1,none,yes,1
<0,24,existing paid,furniture,4169,<100,1-4yr,4,male single,none,4,insurance/savings,28,none,own,1,skilled,1,none,yes,0
0-200,10,existing paid,furniture,1521,<100,1-4yr,4,male divorced,none,2,car,31,none,own,1,unskilled resident,1,none,yes,0
0-200,24,critical,education,5743,<100,<1yr,2,female,none,4,no property,24,none,free,2,skilled,1,yes,yes,0
<0,21,existing paid,furniture,3599,<100,4-7yr,1,female,none,4,car,26,none,rent,1,unskilled resident,1,none,yes,0
0-200,18,existing paid,radio/TV,3213,500-1000,<1yr,1,male married,none,3,real estate,25,none,rent,1,skilled,1,none,yes,0
0-200,18,existing paid,business,4439,<100,>=7yr,1,male single,co-applicant,1,real estate,33,bank,own,1,management,1,yes,yes,0
>=200,10,existing paid,car (new),3949,<100,<1yr,1,male single,guarantor,1,insurance/savings,37,none,own,1,unskilled resident,2,none,yes,0
no checking,15,critical,radio/TV,1459,<100,1-4yr,4,female,none,2,car,43,none,own,1,unskilled resident,1,none,yes,0
0-200,13,critical,radio/TV,882,<100,<1yr,4,male single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,0
0-200,24,existing paid,radio/TV,3758,500-1000,unemployed,1,female,none,4,no property,23,none,rent,1,unemployed/unskilled,1,none,yes,0
no checking,6,delayed,business,1743,100-500,1-4yr,1,male single,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,0
0-200,9,critical,education,1136,>=1000,>=7yr,4,male single,none,3,no property,32,none,free,2,skilled,2,none,yes,1
no checking,9,existing paid,appliances,1236,<100,<1yr,1,female,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,0
0-200,9,existing paid,furniture,959,<100,1-4yr,1,female,none,2,car,29,none,own,1,skilled,1,none,no,1
no checking,18,critical,car (used),3229,no savings,unemployed,2,male single,none,4,no property,38,none,own,1,management,1,yes,yes,0
<0,12,no credits,radio/TV,6199,<100,1-4yr,4,male single,none,2,insurance/savings,28,none,rent,2,skilled,1,yes,yes,1
no checking,10,existing paid,education,727,500-1000,>=7yr,4,male single,none,4,no property,46,none,free,1,skilled,1,yes,yes,0
0-200,24,existing paid,car (new),1246,<100,<1yr,4,male single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,1
no checking,12,critical,radio/TV,2331,no savings,>=7yr,1,male single,co-applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,0
no checking,36,delayed,radio/TV,4463,<100,1-4yr,4,male single,none,2,car,26,none,own,2,management,1,yes,yes,1
no checking,12,existing paid,radio/TV,776,<100,1-4yr,4,male married,none,2,real estate,28,none,own,1,skilled,1,none,yes,0
<0,30,existing paid,furniture,2406,<100,4-7yr,4,female,none,4,real estate,23,none,rent,1,skilled,1,none,yes,1
0-200,18,existing paid,education,1239,no savings,1-4yr,4,male single,none,4,no property,61,none,free,1,skilled,1,none,yes,0
>=200,12,existing paid,radio/TV,3399,no savings,>=7yr,2,male single,none,3,car,37,none,own,1,management,1,none,yes,0
>=200,12,delayed,car (new),2247,<100,1-4yr,2,female,none,2,car,36,stores,own,2,skilled,1,yes,yes,0
no checking,6,existing paid,furniture,1766,<100,1-4yr,1,male married,none,2,insurance/savings,21,none,rent,1,skilled,1,none,yes,0
<0,18,existing paid,furniture,2473,<100,unemployed,4,male single,none,1,car,25,none,own,1,unemployed/unskilled,1,none,yes,1
no checking,12,existing paid,business,1542,<100,4-7yr,2,male single,none,4,car,36,none,own,1,skilled,1,yes,yes,0
no checking,18,critical,car (used),3850,<100,4-7yr,3,male single,none,1,car,27,none,own,2,skilled,1,none,yes,0
<0,18,existing paid,furniture,3650,<100,<1yr,1,female,none,4,car,22,none,rent,1,skilled,1,none,yes,0
<0,36,existing paid,furniture,3446,<100,>=7yr,4,male single,none,2,car,42,none,own,1,skilled,2,none,yes,1
0-200,18,existing paid,furniture,3001,<100,4-7yr,2,female,none,4,real estate,40,none,rent,1,skilled,1,none,yes,0
no checking,36,existing paid,car (new),3079,no savings,1-4yr,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,0
no checking,18,critical,radio/TV,6070,<100,>=7yr,3,male single,none,4,car,33,none,own,2,skilled,1,yes,yes,0
no checking,10,critical,furniture,2146,<100,<1yr,1,female,none,3,real estate,23,none,rent,2,skilled,1,none,yes,0
no checking,60,critical,car (new),13756,no savings,>=7yr,2,male single,none,4,no property,63,bank,free,1,management,1,yes,yes,0
0-200,60,all paid,others,14782,100-500,>=7yr,3,female,none,4,no property,60,bank,free,2,management,1,yes,yes,1
<0,48,all paid,business,7685,<100,4-7yr,2,female,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,1
no checking,18,delayed,radio/TV,2320,<100,unemployed,2,male married,none,3,real estate,34,none,own,2,skilled,1,none,yes,0
no checking,7,delayed,radio/TV,846,no savings,>=7yr,3,male single,none,4,no property,36,none,free,1,skilled,1,none,yes,0
0-200,36,existing paid,car (new),14318,<100,>=7yr,4,male single,none,2,no property,57,none,free,1,management,1,yes,yes,1
no checking,6,critical,car (new),362,100-500,1-4yr,4,female,none,4,car,52,none,own,2,unskilled resident,1,none,yes,0
<0,20,existing paid,furniture,2212,no savings,4-7yr,4,male single,none,4,car,39,none,own,1,skilled,1,yes,yes,0
0-200,18,existing paid,car (used),12976,<100,unemployed,3,female,none,4,no property,38,none,free,1,management,1,yes,yes,1
no checking,22,existing paid,car (new),1283,no savings,4-7yr,4,female,none,4,insurance/savings,25,none,rent,1,skilled,1,none,yes,0
>=200,12,existing paid,car (new),1330,<100,<1yr,4,male single,none,1,real estate,26,none,own,1,skilled,1,none,yes,0
no checking,30,delayed,business,4272,100-500,1-4yr,2,male single,none,2,insurance/savings,26,none,own,2,unskilled resident,1,none,yes,0
no checking,18,critical,radio/TV,2238,<100,1-4yr,2,female,none,1,car,25,none,own,2,skilled,1,none,yes,0
no checking,18,existing paid,radio/TV,1126,no savings,<1yr,4,female,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,0
0-200,18,critical,furniture,7374,<100,unemployed,4,male single,none,4,insurance/savings,40,stores,own,2,management,1,yes,yes,0
0-200,15,critical,business,2326,500-1000,1-4yr,2,male single,none,4,car,27,bank,own,1,skilled,1,none,yes,0
no checking,9,existing paid,business,1449,<100,4-7yr,3,female,none,2,car,27,none,own,2,skilled,1,none,yes,0
no checking,18,existing paid,car (new),1820,<100,1-4yr,2,male married,none,2,insurance/savings,30,none,own,1,management,1,yes,yes,0
0-200,12,existing paid,furniture,983,>=1000,<1yr,1,female,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes,0
<0,36,existing paid,car (new),3249,<100,4-7yr,2,male single,none,4,no property,39,bank,free,1,management,2,yes,yes,0
<0,6,critical,radio/TV,1957,<100,4-7yr,1,female,none,4,car,31,none,own,1,skilled,1,none,yes,0
no checking,9,critical,furniture,2406,<100,unemployed,2,male single,none,3,car,31,none,own,1,management,1,none,yes,0
0-200,39,delayed,education,11760,100-500,4-7yr,2,male single,none,3,no property,32,none,rent,1,skilled,1,yes,yes,0
<0,12,existing paid,furniture,2578,<100,unemployed,3,female,none,4,no property,55,none,free,1,management,1,none,yes,0
<0,36,critical,furniture,2348,<100,1-4yr,3,male married,none,2,insurance/savings,46,none,own,2,skilled,1,yes,yes,0
0-200,12,existing paid,car (new),1223,<100,>=7yr,1,male divorced,none,1,real estate,46,none,rent,2,skilled,1,none,yes,1
no checking,24,critical,radio/TV,1516,>=1000,1-4yr,4,female,none,1,real estate,43,none,own,2,unskilled resident,1,none,yes,0
no checking,18,existing paid,radio/TV,1473,<100,<1yr,3,male married,none,4,real estate,39,none,own,1,skilled,1,yes,yes,0
0-200,18,critical,business,1887,no savings,1-4yr,4,male married,none,4,real estate,28,bank,own,2,skilled,1,none,yes,0
no checking,24,delayed,business,8648,<100,<1yr,2,male single,none,2,car,27,bank,own,2,skilled,1,yes,yes,1
no checking,14,delayed,car (new),802,<100,1-4yr,4,male single,none,2,car,27,none,own,2,unskilled resident,1,none,yes,0
0-200,18,delayed,car (new),2899,no savings,>=7yr,4,male single,none,4,car,43,none,own,1,skilled,2,none,yes,0
0-200,24,existing paid,radio/TV,2039,<100,<1yr,1,male married,none,1,insurance/savings,22,none,own,1,skilled,1,yes,yes,1
no checking,24,critical,car (used),2197,no savings,4-7yr,4,male single,none,4,car,43,none,own,2,skilled,2,yes,yes,0
<0,15,existing paid,radio/TV,1053,<100,<1yr,4,male married,none,2,real estate,27,none,own,1,skilled,1,none,no,0
no checking,24,existing paid,radio/TV,3235,500-1000,>=7yr,3,male divorced,none,2,car,26,none,own,1,management,1,yes,yes,0
>=200,12,critical,car (new),939,500-1000,4-7yr,4,male married,none,2,real estate,28,none,own,3,skilled,1,yes,yes,1
0-200,24,existing paid,radio/TV,1967,<100,>=7yr,4,female,none,4,car,20,none,own,1,skilled,1,yes,yes,0
no checking,33,critical,car (used),7253,<100,4-7yr,3,male single,none,2,car,35,none,own,2,management,1,yes,yes,0
no checking,12,critical,business,2292,<100,unemployed,4,male single,none,2,car,42,stores,own,2,management,1,yes,yes,1
no checking,10,existing paid,car (new),1597,500-1000,1-4yr,3,male single,none,2,no property,40,none,rent,1,unskilled resident,2,none,no,0
<0,24,existing paid,car (new),1381,no savings,1-4yr,4,female,none,2,insurance/savings,35,none,own,1,skilled,1,none,yes,1
no checking,36,critical,car (used),5842,<100,>=7yr,2,male single,none,2,insurance/savings,35,none,own,2,skilled,2,yes,yes,0
<0,12,existing paid,car (new),2579,<100,<1yr,4,male single,none,1,real estate,33,none,own,1,unskilled resident,2,none,yes,1
<0,18,delayed,education,8471,no savings,1-4yr,1,female,none,2,car,23,none,rent,2,skilled,1,yes,yes,0
no checking,21,existing paid,car (new),2782,500-1000,4-7yr,1,female,none,2,car,31,bank,own,1,management,1,none,yes,0
0-200,18,existing paid,car (new),1042,no savings,1-4yr,4,female,none,2,insurance/savings,33,none,own,1,skilled,1,none,yes,1
no checking,15,existing paid,car (new),3186,>=1000,4-7yr,2,female,none,3,car,20,none,rent,1,skilled,1,none,yes,0
0-200,12,existing paid,car (used),2028,no savings,1-4yr,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,0
0-200,12,critical,car (new),958,<100,4-7yr,2,male single,none,3,real estate,47,none,own,2,unskilled resident,2,none,yes,0
no checking,21,delayed,furniture,1591,100-500,4-7yr,4,male single,none,3,real estate,34,none,own,2,management,1,none,yes,0
0-200,12,existing paid,furniture,2762,no savings,>=7yr,1,female,none,2,insurance/savings,25,bank,own,1,skilled,1,yes,yes,1
0-200,18,existing paid,car (used),2779,<100,1-4yr,1,male married,none,3,car,21,none,rent,1,skilled,1,yes,yes,0
no checking,28,critical,radio/TV,2743,<100,>=7yr,4,male single,none,2,car,29,none,own,2,skilled,1,none,yes,0
no checking,18,critical,radio/TV,1149,>=1000,1-4yr,4,male single,none,3,real estate,46,none,own,2,skilled,1,none,yes,0
no checking,9,existing paid,furniture,1313,<100,>=7yr,1,male single,none,4,car,20,none,own,1,skilled,1,none,yes,0
<0,18,critical,repairs,1190,<100,unemployed,2,female,none,4,no property,55,none,free,3,unemployed/unskilled,2,none,yes,1
no checking,5,existing paid,business,3448,<100,4-7yr,1,male single,none,4,real estate,74,none,own,1,unskilled resident,1,none,yes,0
0-200,24,existing paid,others,11328,<100,1-4yr,2,male single,co-applicant,3,car,29,bank,own,2,management,1,yes,yes,1
<0,6,critical,furniture,1872,<100,unemployed,4,male single,none,4,no property,36,none,free,3,management,1,yes,yes,0
no checking,24,critical,repairs,2058,<100,1-4yr,4,male divorced,none,2,real estate,33,none,own,2,skilled,1,yes,yes,0
<0,9,existing paid,furniture,2136,<100,1-4yr,3,male single,none,2,real estate,25,none,own,1,skilled,1,none,yes,0
0-200,12,existing paid,radio/TV,1484,no savings,1-4yr,2,male married,none,1,real estate,25,none,own,1,skilled,1,yes,yes,1
no checking,6,existing paid,repairs,660,500-1000,4-7yr,2,male married,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,0
no checking,24,critical,car (new),1287,>=1000,>=7yr,4,female,none,4,real estate,37,none,own,2,skilled,1,yes,yes,0
<0,42,critical,repairs,3394,<100,unemployed,4,male single,co-applicant,4,car,65,none,own,2,unemployed/unskilled,1,none,yes,0
>=200,12,all paid,business,609,<100,<1yr,4,female,none,1,real estate,26,none,own,1,unemployed/unskilled,1,none,yes,1
no checking,12,existing paid,car (new),1884,<100,>=7yr,4,male single,none,4,car,39,none,own,1,management,1,yes,yes,0
<0,12,existing paid,furniture,1620,<100,1-4yr,2,female,co-applicant,3,insurance/savings,30,none,own,1,skilled,1,none,yes,0
0-200,20,delayed,others,2629,<100,1-4yr,2,male single,none,3,car,29,bank,own,2,skilled,1,yes,yes,0
no checking,12,existing paid,education,719,<100,>=7yr,4,male single,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,1
0-200,48,critical,furniture,5096,<100,1-4yr,2,female,none,3,car,30,none,own,1,management,1,yes,yes,1
no checking,9,critical,education,1244,no savings,>=7yr,4,female,none,4,insurance/savings,41,none,rent,2,unskilled resident,1,none,yes,0
<0,36,existing paid,car (new),1842,<100,<1yr,4,female,none,4,car,34,none,own,1,skilled,1,yes,yes,1
0-200,7,existing paid,radio/TV,2576,<100,1-4yr,2,male single,guarantor,2,real estate,35,none,own,1,skilled,1,none,yes,0
>=200,12,existing paid,furniture,1424,no savings,>=7yr,3,female,none,4,real estate,55,none,own,1,management,1,yes,yes,0
0-200,15,delayed,repairs,1512,>=1000,1-4yr,3,male married,none,3,insurance/savings,61,stores,own,2,skilled,1,none,yes,1
no checking,36,critical,car (used),11054,no savings,1-4yr,4,male single,none,2,car,30,none,own,1,management,1,yes,yes,0
no checking,6,existing paid,radio/TV,518,<100,1-4yr,3,female,none,1,real estate,29,none,own,1,skilled,1,none,yes,0
